"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neurotocism","agreeableness","conscientiousness","openness"
26,"Male","IN",5,4,4,2,2,2,4,4,3,4,2,4,4,2,2,"5, 4, 4","2, 2, 2","4 4 3","4 2 4","4 2 2"
15,"Female","CA",2,1,1,4,5,3,2,3,2,5,5,5,5,5,4,"2, 1, 1","4, 5, 3","2 3 2","5 5 5","5 5 4"
18,"Male","US",3,5,5,1,1,1,5,4,4,3,3,3,5,5,4,"3, 5, 5","1, 1, 1","5 4 4","3 3 3","5 5 4"
22,"Female","GB",2,4,4,2,4,2,5,5,5,3,4,4,4,4,3,"2, 4, 4","2, 4, 2","5 5 5","3 4 4","4 4 3"
32,"Female","GB",4,5,5,5,4,2,5,4,4,4,4,3,4,4,4,"4, 5, 5","5, 4, 2","5 4 4","4 4 3","4 4 4"
24,"Female","SE",3,5,5,3,3,3,5,4,5,3,5,3,4,5,4,"3, 5, 5","3, 3, 3","5 4 5","3 5 3","4 5 4"
55,"Male","GB",1,2,2,4,4,4,5,4,4,4,3,3,5,3,4,"1, 2, 2","4, 4, 4","5 4 4","4 3 3","5 3 4"
20,"Female","A2",1,1,2,2,5,5,5,3,5,2,5,2,4,4,4,"1, 1, 2","2, 5, 5","5 3 5","2 5 2","4 4 4"
23,"Female","US",3,3,4,4,5,3,5,4,2,3,4,4,5,5,5,"3, 3, 4","4, 5, 3","5 4 2","3 4 4","5 5 5"
35,"Male","RO",4,5,4,1,2,1,4,4,4,4,5,4,5,5,5,"4, 5, 4","1, 2, 1","4 4 4","4 5 4","5 5 5"
24,"Female","IN",5,5,3,4,3,4,5,3,3,1,1,1,3,3,4,"5, 5, 3","4, 3, 4","5 3 3","1 1 1","3 3 4"
30,"Female","GB",3,4,4,2,4,5,4,4,4,1,3,4,3,4,3,"3, 4, 4","2, 4, 5","4 4 4","1 3 4","3 4 3"
18,"Female","US",1,3,2,2,4,2,3,5,5,2,4,2,4,4,4,"1, 3, 2","2, 4, 2","3 5 5","2 4 2","4 4 4"
71,"Female","US",3,3,3,3,4,4,4,4,4,3,4,4,2,3,3,"3, 3, 3","3, 4, 4","4 4 4","3 4 4","2 3 3"
41,"Female","GB",4,4,4,3,4,3,5,4,5,4,4,4,5,4,5,"4, 4, 4","3, 4, 3","5 4 5","4 4 4","5 4 5"
25,"Female","US",1,3,3,3,5,2,5,5,5,3,5,5,5,5,4,"1, 3, 3","3, 5, 2","5 5 5","3 5 5","5 5 4"
50,"Male","US",2,2,4,1,4,3,4,3,4,4,4,4,4,5,5,"2, 2, 4","1, 4, 3","4 3 4","4 4 4","4 5 5"
19,"Female","US",2,5,4,3,4,4,5,5,5,2,4,5,5,5,4,"2, 5, 4","3, 4, 4","5 5 5","2 4 5","5 5 4"
57,"Female","GB",2,4,4,5,5,5,4,4,4,2,5,4,5,5,3,"2, 4, 4","5, 5, 5","4 4 4","2 5 4","5 5 3"
18,"Female","US",1,4,5,5,5,4,5,5,4,3,4,3,5,5,5,"1, 4, 5","5, 5, 4","5 5 4","3 4 3","5 5 5"
54,"Male","US",2,4,4,3,3,2,4,4,4,3,2,3,4,4,3,"2, 4, 4","3, 3, 2","4 4 4","3 2 3","4 4 3"
18,"Female","US",3,2,5,4,5,4,2,4,3,5,5,5,4,3,2,"3, 2, 5","4, 5, 4","2 4 3","5 5 5","4 3 2"
23,"Female","US",4,4,5,4,4,1,4,2,4,4,4,2,4,5,4,"4, 4, 5","4, 4, 1","4 2 4","4 4 2","4 5 4"
22,"Male","US",3,3,5,1,3,2,3,2,3,4,5,4,5,5,5,"3, 3, 5","1, 3, 2","3 2 3","4 5 4","5 5 5"
33,"Male","GB",3,4,3,2,2,5,2,3,4,3,3,3,4,5,5,"3, 4, 3","2, 2, 5","2 3 4","3 3 3","4 5 5"
22,"Male","GB",3,4,2,1,1,1,4,4,5,4,5,3,5,5,5,"3, 4, 2","1, 1, 1","4 4 5","4 5 3","5 5 5"
17,"Female","GB",1,4,2,1,5,4,4,5,4,2,4,2,5,5,5,"1, 4, 2","1, 5, 4","4 5 4","2 4 2","5 5 5"
43,"Male","US",3,3,2,4,4,5,4,3,3,2,2,4,2,4,5,"3, 3, 2","4, 4, 5","4 3 3","2 2 4","2 4 5"
21,"Female","GB",3,4,3,5,5,4,4,4,4,5,5,5,4,5,3,"3, 4, 3","5, 5, 4","4 4 4","5 5 5","4 5 3"
19,"Female","US",2,2,2,5,5,4,4,5,4,4,5,5,4,4,4,"2, 2, 2","5, 5, 4","4 5 4","4 5 5","4 4 4"
24,"Female","FI",2,2,4,4,4,2,4,4,2,4,4,2,4,4,3,"2, 2, 4","4, 4, 2","4 4 2","4 4 2","4 4 3"
20,"Male","GB",3,5,4,4,4,1,5,3,4,2,3,1,5,4,4,"3, 5, 4","4, 4, 1","5 3 4","2 3 1","5 4 4"
19,"Male","IN",4,5,5,1,2,5,5,5,5,3,5,1,5,5,4,"4, 5, 5","1, 2, 5","5 5 5","3 5 1","5 5 4"
18,"Female","US",1,5,3,4,5,2,4,5,3,4,5,4,5,5,4,"1, 5, 3","4, 5, 2","4 5 3","4 5 4","5 5 4"
32,"Female","US",2,2,2,5,5,4,3,3,2,3,4,4,4,4,4,"2, 2, 2","5, 5, 4","3 3 2","3 4 4","4 4 4"
18,"Male","US",1,2,2,3,4,2,2,3,3,5,3,4,3,5,4,"1, 2, 2","3, 4, 2","2 3 3","5 3 4","3 5 4"
29,"Male","US",3,5,5,2,4,1,4,3,3,3,5,2,5,5,5,"3, 5, 5","2, 4, 1","4 3 3","3 5 2","5 5 5"
21,"Female","US",3,3,3,3,3,3,2,5,3,2,5,4,3,5,4,"3, 3, 3","3, 3, 3","2 5 3","2 5 4","3 5 4"
18,"Female","US",2,3,2,4,5,4,4,5,4,3,4,3,4,3,4,"2, 3, 2","4, 5, 4","4 5 4","3 4 3","4 3 4"
20,"Female","US",5,4,5,4,4,2,5,5,4,2,2,4,5,4,4,"5, 4, 5","4, 4, 2","5 5 4","2 2 4","5 4 4"
14,"Female","GB",3,3,5,4,5,5,4,5,3,2,3,1,5,4,5,"3, 3, 5","4, 5, 5","4 5 3","2 3 1","5 4 5"
32,"Male","US",1,1,1,5,4,1,2,3,1,2,5,1,1,5,3,"1, 1, 1","5, 4, 1","2 3 1","2 5 1","1 5 3"
55,"Male","US",1,3,1,3,4,2,3,5,5,4,4,2,5,5,5,"1, 3, 1","3, 4, 2","3 5 5","4 4 2","5 5 5"
18,"Female","US",2,3,4,4,4,2,4,5,3,3,5,4,2,4,3,"2, 3, 4","4, 4, 2","4 5 3","3 5 4","2 4 3"
29,"Female","DE",4,4,4,4,5,2,5,5,4,4,4,2,5,5,5,"4, 4, 4","4, 5, 2","5 5 4","4 4 2","5 5 5"
64,"Male","US",1,2,4,4,4,3,3,3,2,3,4,3,4,3,4,"1, 2, 4","4, 4, 3","3 3 2","3 4 3","4 3 4"
17,"Male","GB",1,1,2,5,5,5,5,2,2,2,4,2,5,4,1,"1, 1, 2","5, 5, 5","5 2 2","2 4 2","5 4 1"
25,"Male","PL",2,4,5,1,5,5,5,1,2,4,3,1,2,5,4,"2, 4, 5","1, 5, 5","5 1 2","4 3 1","2 5 4"
15,"Male","US",3,2,5,1,5,1,5,5,4,4,5,1,5,5,5,"3, 2, 5","1, 5, 1","5 5 4","4 5 1","5 5 5"
21,"Male","GB",4,4,5,2,4,4,5,4,4,2,4,1,5,4,4,"4, 4, 5","2, 4, 4","5 4 4","2 4 1","5 4 4"
24,"Male","US",2,5,3,5,4,5,3,1,3,1,3,1,3,1,2,"2, 5, 3","5, 4, 5","3 1 3","1 3 1","3 1 2"
22,"Female","US",4,4,5,4,4,2,4,4,5,2,5,3,4,4,3,"4, 4, 5","4, 4, 2","4 4 5","2 5 3","4 4 3"
18,"Female","US",4,4,5,2,5,1,3,4,5,4,5,4,5,5,5,"4, 4, 5","2, 5, 1","3 4 5","4 5 4","5 5 5"
58,"Male","US",5,5,5,3,4,1,5,1,5,4,4,4,5,5,5,"5, 5, 5","3, 4, 1","5 1 5","4 4 4","5 5 5"
18,"Female","US",2,4,3,5,5,4,3,4,3,4,5,4,4,3,4,"2, 4, 3","5, 5, 4","3 4 3","4 5 4","4 3 4"
39,"Female","US",4,5,5,3,4,3,5,5,5,5,5,5,3,4,5,"4, 5, 5","3, 4, 3","5 5 5","5 5 5","3 4 5"
20,"Male","GB",3,5,5,1,1,1,5,4,5,2,4,5,4,4,5,"3, 5, 5","1, 1, 1","5 4 5","2 4 5","4 4 5"
28,"Female","US",3,2,3,5,5,4,3,3,3,4,4,3,2,4,3,"3, 2, 3","5, 5, 4","3 3 3","4 4 3","2 4 3"
48,"Female","BR",2,3,5,5,4,4,1,2,5,3,5,4,3,5,3,"2, 3, 5","5, 4, 4","1 2 5","3 5 4","3 5 3"
31,"Male","CA",4,5,4,3,5,1,5,5,5,3,4,2,5,5,5,"4, 5, 4","3, 5, 1","5 5 5","3 4 2","5 5 5"
26,"Female","US",2,2,2,3,5,3,4,4,4,3,5,2,4,5,3,"2, 2, 2","3, 5, 3","4 4 4","3 5 2","4 5 3"
20,"Female","US",3,2,4,5,5,3,5,5,5,4,5,5,4,3,4,"3, 2, 4","5, 5, 3","5 5 5","4 5 5","4 3 4"
23,"Female","US",2,4,2,3,2,1,4,4,4,3,4,3,1,5,4,"2, 4, 2","3, 2, 1","4 4 4","3 4 3","1 5 4"
22,"Female","US",2,5,3,2,5,3,5,2,5,3,5,3,5,5,5,"2, 5, 3","2, 5, 3","5 2 5","3 5 3","5 5 5"
30,"Female","US",1,3,3,3,4,2,5,5,3,3,5,4,5,5,4,"1, 3, 3","3, 4, 2","5 5 3","3 5 4","5 5 4"
19,"Female","US",2,5,4,4,3,3,5,2,3,5,4,5,4,3,4,"2, 5, 4","4, 3, 3","5 2 3","5 4 5","4 3 4"
24,"Female","US",3,4,5,3,5,3,5,5,4,3,5,3,5,5,3,"3, 4, 5","3, 5, 3","5 5 4","3 5 3","5 5 3"
33,"Male","BR",3,3,4,1,3,1,3,4,4,5,4,4,3,4,4,"3, 3, 4","1, 3, 1","3 4 4","5 4 4","3 4 4"
21,"Male","GB",4,5,5,2,4,1,5,3,3,5,5,4,4,5,5,"4, 5, 5","2, 4, 1","5 3 3","5 5 4","4 5 5"
39,"Female","CA",3,3,5,1,4,3,5,5,5,4,4,5,1,3,5,"3, 3, 5","1, 4, 3","5 5 5","4 4 5","1 3 5"
43,"Female","US",3,5,5,2,2,2,5,5,5,4,5,3,4,5,5,"3, 5, 5","2, 2, 2","5 5 5","4 5 3","4 5 5"
23,"Male","US",2,3,3,3,5,3,5,4,4,3,4,3,5,4,4,"2, 3, 3","3, 5, 3","5 4 4","3 4 3","5 4 4"
19,"Male","ZA",1,1,1,1,4,1,2,2,3,4,5,1,5,5,5,"1, 1, 1","1, 4, 1","2 2 3","4 5 1","5 5 5"
33,"Female","US",5,1,2,5,4,5,4,5,5,5,5,4,5,2,4,"5, 1, 2","5, 4, 5","4 5 5","5 5 4","5 2 4"
21,"Female","AU",4,4,5,4,4,4,5,5,4,3,4,2,4,4,3,"4, 4, 5","4, 4, 4","5 5 4","3 4 2","4 4 3"
23,"Female","US",2,5,4,3,4,3,5,5,5,5,5,5,4,5,4,"2, 5, 4","3, 4, 3","5 5 5","5 5 5","4 5 4"
54,"Male","CA",1,4,4,1,5,1,5,5,5,5,5,4,5,5,5,"1, 4, 4","1, 5, 1","5 5 5","5 5 4","5 5 5"
19,"Male","GB",2,3,4,4,4,4,4,4,2,2,4,2,4,4,3,"2, 3, 4","4, 4, 4","4 4 2","2 4 2","4 4 3"
38,"Male","US",5,5,5,3,2,3,5,5,4,4,5,3,4,4,5,"5, 5, 5","3, 2, 3","5 5 4","4 5 3","4 4 5"
21,"Female","CA",2,2,2,5,5,4,4,3,3,5,4,2,4,4,4,"2, 2, 2","5, 5, 4","4 3 3","5 4 2","4 4 4"
21,"Female","CA",5,4,4,1,5,4,5,4,3,2,5,1,5,5,5,"5, 4, 4","1, 5, 4","5 4 3","2 5 1","5 5 5"
21,"Male","US",3,4,2,1,5,2,4,3,3,2,3,5,4,3,2,"3, 4, 2","1, 5, 2","4 3 3","2 3 5","4 3 2"
20,"Female","BS",3,5,3,3,3,3,3,5,5,5,5,5,5,5,4,"3, 5, 3","3, 3, 3","3 5 5","5 5 5","5 5 4"
19,"Male","US",3,4,3,2,5,2,4,4,4,4,5,4,4,4,4,"3, 4, 3","2, 5, 2","4 4 4","4 5 4","4 4 4"
25,"Male","CA",2,4,2,1,3,2,5,5,3,5,5,4,2,4,5,"2, 4, 2","1, 3, 2","5 5 3","5 5 4","2 4 5"
21,"Male","US",4,4,4,1,3,1,4,2,1,4,5,5,4,4,5,"4, 4, 4","1, 3, 1","4 2 1","4 5 5","4 4 5"
14,"Female","US",2,3,3,5,5,5,3,5,3,4,5,4,5,5,3,"2, 3, 3","5, 5, 5","3 5 3","4 5 4","5 5 3"
17,"Female","US",1,3,3,2,3,2,3,4,3,4,2,3,3,4,3,"1, 3, 3","2, 3, 2","3 4 3","4 2 3","3 4 3"
21,"Female","US",2,3,4,2,4,2,4,5,3,3,4,2,4,4,3,"2, 3, 4","2, 4, 2","4 5 3","3 4 2","4 4 3"
25,"Male","GB",1,1,1,1,5,4,1,3,2,1,1,1,5,2,5,"1, 1, 1","1, 5, 4","1 3 2","1 1 1","5 2 5"
31,"Female","US",1,4,3,5,5,3,4,5,5,4,5,3,5,4,5,"1, 4, 3","5, 5, 3","4 5 5","4 5 3","5 4 5"
20,"Female","US",3,5,2,3,3,3,4,4,4,5,5,5,2,4,3,"3, 5, 2","3, 3, 3","4 4 4","5 5 5","2 4 3"
26,"Male","US",4,5,5,2,5,1,5,5,5,3,5,2,5,5,4,"4, 5, 5","2, 5, 1","5 5 5","3 5 2","5 5 4"
23,"Female","US",2,3,3,5,5,3,5,5,5,4,4,2,4,5,4,"2, 3, 3","5, 5, 3","5 5 5","4 4 2","4 5 4"
23,"Male","US",4,4,5,1,2,1,3,1,5,2,2,2,5,5,5,"4, 4, 5","1, 2, 1","3 1 5","2 2 2","5 5 5"
24,"Female","US",3,3,3,1,2,1,3,5,5,3,5,5,5,3,3,"3, 3, 3","1, 2, 1","3 5 5","3 5 5","5 3 3"
44,"Male","US",2,3,1,2,1,4,4,3,2,5,5,3,4,5,5,"2, 3, 1","2, 1, 4","4 3 2","5 5 3","4 5 5"
54,"Male","US",2,1,2,2,1,1,1,1,1,4,2,4,5,5,2,"2, 1, 2","2, 1, 1","1 1 1","4 2 4","5 5 2"
20,"Male","US",3,4,5,3,3,1,4,4,4,4,4,3,5,5,5,"3, 4, 5","3, 3, 1","4 4 4","4 4 3","5 5 5"
16,"Male","AU",3,5,3,2,3,1,5,3,5,1,4,5,5,5,5,"3, 5, 3","2, 3, 1","5 3 5","1 4 5","5 5 5"
18,"Female","US",2,3,3,2,5,5,5,5,3,4,5,5,4,4,5,"2, 3, 3","2, 5, 5","5 5 3","4 5 5","4 4 5"
22,"Female","MY",4,4,5,2,3,3,4,4,4,3,3,3,4,3,2,"4, 4, 5","2, 3, 3","4 4 4","3 3 3","4 3 2"
17,"Male","US",1,3,3,3,4,5,4,3,2,3,3,4,4,3,4,"1, 3, 3","3, 4, 5","4 3 2","3 3 4","4 3 4"
18,"Female","US",3,3,4,5,5,4,4,4,3,3,4,2,5,3,5,"3, 3, 4","5, 5, 4","4 4 3","3 4 2","5 3 5"
17,"Male","US",3,5,5,2,2,2,5,3,4,4,5,5,5,5,5,"3, 5, 5","2, 2, 2","5 3 4","4 5 5","5 5 5"
20,"Male","US",2,2,2,4,4,4,2,4,3,3,3,2,2,3,3,"2, 2, 2","4, 4, 4","2 4 3","3 3 2","2 3 3"
21,"Female","CA",2,4,4,5,5,5,4,5,3,2,1,2,5,2,4,"2, 4, 4","5, 5, 5","4 5 3","2 1 2","5 2 4"
18,"Female","US",2,3,2,3,5,1,4,4,3,3,5,3,4,4,3,"2, 3, 2","3, 5, 1","4 4 3","3 5 3","4 4 3"
23,"Male","CA",3,5,4,1,1,1,5,5,4,5,5,4,5,5,5,"3, 5, 4","1, 1, 1","5 5 4","5 5 4","5 5 5"
21,"Female","US",1,2,2,5,5,4,5,4,4,3,4,4,4,4,4,"1, 2, 2","5, 5, 4","5 4 4","3 4 4","4 4 4"
20,"Female","US",1,4,3,3,4,2,4,5,4,4,4,4,5,4,5,"1, 4, 3","3, 4, 2","4 5 4","4 4 4","5 4 5"
28,"Male","US",4,5,5,3,2,1,5,3,4,4,2,2,5,4,5,"4, 5, 5","3, 2, 1","5 3 4","4 2 2","5 4 5"
21,"Female","US",3,3,4,4,3,5,3,3,3,2,3,3,4,3,3,"3, 3, 4","4, 3, 5","3 3 3","2 3 3","4 3 3"
52,"Female","US",3,5,5,1,2,5,1,5,5,4,5,4,5,4,5,"3, 5, 5","1, 2, 5","1 5 5","4 5 4","5 4 5"
18,"Male","US",3,4,4,2,4,2,2,2,2,4,4,4,5,4,2,"3, 4, 4","2, 4, 2","2 2 2","4 4 4","5 4 2"
21,"Male","US",4,3,4,2,4,3,2,3,2,4,5,4,5,5,5,"4, 3, 4","2, 4, 3","2 3 2","4 5 4","5 5 5"
30,"Female","US",1,2,5,1,3,3,2,5,5,5,5,5,4,5,5,"1, 2, 5","1, 3, 3","2 5 5","5 5 5","4 5 5"
20,"Male","US",5,5,5,4,4,1,5,4,5,4,4,5,5,5,5,"5, 5, 5","4, 4, 1","5 4 5","4 4 5","5 5 5"
19,"Female","US",5,3,4,2,5,4,3,5,3,4,5,4,3,5,3,"5, 3, 4","2, 5, 4","3 5 3","4 5 4","3 5 3"
52,"Female","US",4,5,5,4,3,2,5,4,4,3,3,3,4,4,3,"4, 5, 5","4, 3, 2","5 4 4","3 3 3","4 4 3"
19,"Female","CA",2,1,4,3,5,5,2,4,4,4,4,2,5,5,4,"2, 1, 4","3, 5, 5","2 4 4","4 4 2","5 5 4"
41,"Female","US",2,5,5,1,3,1,5,5,5,4,4,4,3,5,5,"2, 5, 5","1, 3, 1","5 5 5","4 4 4","3 5 5"
22,"Male","IN",3,4,4,3,3,2,4,3,4,2,5,4,4,3,4,"3, 4, 4","3, 3, 2","4 3 4","2 5 4","4 3 4"
23,"Male","IN",3,3,3,4,4,4,3,2,5,2,1,5,2,3,3,"3, 3, 3","4, 4, 4","3 2 5","2 1 5","2 3 3"
56,"Female","US",1,3,3,3,3,3,3,5,3,3,4,4,4,3,4,"1, 3, 3","3, 3, 3","3 5 3","3 4 4","4 3 4"
22,"Female","US",2,2,3,5,5,4,3,5,2,3,5,3,5,3,5,"2, 2, 3","5, 5, 4","3 5 2","3 5 3","5 3 5"
33,"Female","PH",3,3,2,4,2,2,4,4,3,4,4,4,4,4,3,"3, 3, 2","4, 2, 2","4 4 3","4 4 4","4 4 3"
30,"Female","US",2,4,2,4,5,5,4,5,3,3,4,4,5,3,2,"2, 4, 2","4, 5, 5","4 5 3","3 4 4","5 3 2"
24,"Female","GB",5,5,5,4,4,3,4,3,4,3,3,3,4,5,5,"5, 5, 5","4, 4, 3","4 3 4","3 3 3","4 5 5"
22,"Female","US",4,4,4,5,4,2,2,5,4,4,5,4,4,4,3,"4, 4, 4","5, 4, 2","2 5 4","4 5 4","4 4 3"
35,"Male","ZA",1,5,5,1,2,1,5,5,5,5,5,5,3,5,5,"1, 5, 5","1, 2, 1","5 5 5","5 5 5","3 5 5"
21,"Male","US",4,5,5,2,3,2,5,4,3,4,4,3,4,4,4,"4, 5, 5","2, 3, 2","5 4 3","4 4 3","4 4 4"
18,"Male","US",2,2,2,5,5,3,4,4,4,2,3,2,4,3,3,"2, 2, 2","5, 5, 3","4 4 4","2 3 2","4 3 3"
22,"Female","US",3,5,3,5,5,5,5,5,3,2,5,3,5,4,4,"3, 5, 3","5, 5, 5","5 5 3","2 5 3","5 4 4"
22,"Female","AU",5,5,5,4,3,3,5,5,5,5,5,5,5,5,5,"5, 5, 5","4, 3, 3","5 5 5","5 5 5","5 5 5"
33,"Male","IN",1,1,1,5,4,5,1,4,4,4,4,5,4,4,4,"1, 1, 1","5, 4, 5","1 4 4","4 4 5","4 4 4"
18,"Female","NZ",1,1,1,5,5,2,1,2,2,4,4,1,5,3,4,"1, 1, 1","5, 5, 2","1 2 2","4 4 1","5 3 4"
13,"Male","AU",2,3,4,3,4,1,3,4,3,4,4,1,5,5,5,"2, 3, 4","3, 4, 1","3 4 3","4 4 1","5 5 5"
25,"Female","TW",1,1,1,5,5,5,3,5,3,4,5,4,5,3,4,"1, 1, 1","5, 5, 5","3 5 3","4 5 4","5 3 4"
23,"Male","KR",2,2,4,3,3,3,3,3,3,4,4,4,4,4,4,"2, 2, 4","3, 3, 3","3 3 3","4 4 4","4 4 4"
17,"Male","PH",2,5,3,3,3,3,5,3,3,4,4,3,5,4,4,"2, 5, 3","3, 3, 3","5 3 3","4 4 3","5 4 4"
67,"Male","SE",2,5,5,2,2,1,4,5,4,4,4,3,5,4,5,"2, 5, 5","2, 2, 1","4 5 4","4 4 3","5 4 5"
18,"Male","US",5,3,5,4,5,1,5,4,3,3,3,3,5,3,4,"5, 3, 5","4, 5, 1","5 4 3","3 3 3","5 3 4"
24,"Female","US",1,1,1,5,5,5,5,5,1,4,5,4,5,4,2,"1, 1, 1","5, 5, 5","5 5 1","4 5 4","5 4 2"
32,"Male","CA",2,2,3,5,5,3,4,5,4,2,5,4,4,5,4,"2, 2, 3","5, 5, 3","4 5 4","2 5 4","4 5 4"
18,"Female","US",4,4,5,3,3,1,3,3,4,5,3,4,5,3,4,"4, 4, 5","3, 3, 1","3 3 4","5 3 4","5 3 4"
17,"Female","PH",5,4,3,5,5,3,5,5,4,2,3,5,5,3,5,"5, 4, 3","5, 5, 3","5 5 4","2 3 5","5 3 5"
18,"Female","AT",4,4,4,2,2,2,5,2,3,2,5,2,5,5,5,"4, 4, 4","2, 2, 2","5 2 3","2 5 2","5 5 5"
68,"Female","US",1,2,2,2,2,2,3,4,3,3,4,3,3,4,4,"1, 2, 2","2, 2, 2","3 4 3","3 4 3","3 4 4"
49,"Male","IN",4,2,5,2,2,4,4,5,4,5,5,4,5,4,4,"4, 2, 5","2, 2, 4","4 5 4","5 5 4","5 4 4"
15,"Female","GB",1,2,1,4,5,4,4,5,3,4,4,4,5,4,3,"1, 2, 1","4, 5, 4","4 5 3","4 4 4","5 4 3"
60,"Male","IN",1,3,3,1,5,5,3,5,5,4,4,5,4,4,3,"1, 3, 3","1, 5, 5","3 5 5","4 4 5","4 4 3"
25,"Male","IN",3,4,2,3,4,3,4,4,4,4,4,4,2,5,4,"3, 4, 2","3, 4, 3","4 4 4","4 4 4","2 5 4"
17,"Female","PH",2,3,4,4,4,5,5,4,4,3,4,4,5,5,4,"2, 3, 4","4, 4, 5","5 4 4","3 4 4","5 5 4"
17,"Male","AU",4,5,5,5,5,4,5,5,5,1,4,2,2,5,4,"4, 5, 5","5, 5, 4","5 5 5","1 4 2","2 5 4"
26,"Female","BH",1,2,2,2,2,2,5,4,5,3,3,2,5,5,4,"1, 2, 2","2, 2, 2","5 4 5","3 3 2","5 5 4"
19,"Female","US",3,5,5,3,5,3,3,3,3,5,5,3,5,5,5,"3, 5, 5","3, 5, 3","3 3 3","5 5 3","5 5 5"
16,"Male","PH",3,4,4,2,2,2,4,4,4,4,4,5,5,5,5,"3, 4, 4","2, 2, 2","4 4 4","4 4 5","5 5 5"
52,"Male","GB",2,5,4,1,4,5,5,4,4,4,5,4,2,5,5,"2, 5, 4","1, 4, 5","5 4 4","4 5 4","2 5 5"
17,"Female","PH",5,5,1,1,5,1,5,5,1,5,5,5,5,5,1,"5, 5, 1","1, 5, 1","5 5 1","5 5 5","5 5 1"
27,"Female","DE",2,2,2,3,4,2,4,4,3,3,4,4,2,4,3,"2, 2, 2","3, 4, 2","4 4 3","3 4 4","2 4 3"
28,"Male","IN",1,1,3,1,3,5,3,5,5,1,2,1,4,1,3,"1, 1, 3","1, 3, 5","3 5 5","1 2 1","4 1 3"
43,"Male","US",3,5,5,2,4,1,5,5,3,4,5,1,5,5,5,"3, 5, 5","2, 4, 1","5 5 3","4 5 1","5 5 5"
14,"Female","PH",3,3,3,4,5,4,5,3,5,2,2,5,4,5,5,"3, 3, 3","4, 5, 4","5 3 5","2 2 5","4 5 5"
26,"Female","IN",3,3,4,5,5,4,4,4,5,1,5,2,4,4,4,"3, 3, 4","5, 5, 4","4 4 5","1 5 2","4 4 4"
22,"Male","IN",1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,"1, 1, 5","1, 5, 1","5 5 5","5 5 5","5 5 5"
24,"Male","CH",1,3,4,4,4,3,3,2,4,2,4,1,5,5,4,"1, 3, 4","4, 4, 3","3 2 4","2 4 1","5 5 4"
26,"Female","IN",3,2,5,4,5,5,2,5,5,5,5,5,3,5,3,"3, 2, 5","4, 5, 5","2 5 5","5 5 5","3 5 3"
13,"Female","ZA",4,5,4,3,3,2,5,5,5,5,5,4,4,5,5,"4, 5, 4","3, 3, 2","5 5 5","5 5 4","4 5 5"
20,"Male","NZ",4,4,4,1,1,3,5,5,5,3,4,3,4,5,4,"4, 4, 4","1, 1, 3","5 5 5","3 4 3","4 5 4"
39,"Male","GB",1,2,2,3,3,2,3,3,3,4,5,3,4,5,4,"1, 2, 2","3, 3, 2","3 3 3","4 5 3","4 5 4"
17,"Male","US",4,5,4,1,2,1,2,5,5,3,4,2,5,5,5,"4, 5, 4","1, 2, 1","2 5 5","3 4 2","5 5 5"
16,"Female","US",1,1,1,5,5,5,3,5,4,2,5,3,4,3,4,"1, 1, 1","5, 5, 5","3 5 4","2 5 3","4 3 4"
16,"Male","US",5,4,2,1,4,1,2,5,5,2,3,1,3,5,4,"5, 4, 2","1, 4, 1","2 5 5","2 3 1","3 5 4"
16,"Female","US",3,2,3,5,5,5,2,2,4,3,2,3,5,3,4,"3, 2, 3","5, 5, 5","2 2 4","3 2 3","5 3 4"
18,"Male","US",5,3,4,5,4,5,3,4,2,3,4,3,2,3,5,"5, 3, 4","5, 4, 5","3 4 2","3 4 3","2 3 5"
16,"Male","US",4,4,4,4,4,2,4,3,3,5,3,4,4,4,5,"4, 4, 4","4, 4, 2","4 3 3","5 3 4","4 4 5"
17,"Male","US",4,3,3,4,4,4,3,4,4,3,3,3,4,3,5,"4, 3, 3","4, 4, 4","3 4 4","3 3 3","4 3 5"
68,"Male","US",2,3,2,3,3,2,2,2,3,2,4,2,4,4,4,"2, 3, 2","3, 3, 2","2 2 3","2 4 2","4 4 4"
23,"Female","US",4,5,4,4,4,3,4,5,3,4,4,5,4,4,3,"4, 5, 4","4, 4, 3","4 5 3","4 4 5","4 4 3"
28,"Female","AU",1,2,1,5,5,5,3,5,2,3,3,2,4,4,2,"1, 2, 1","5, 5, 5","3 5 2","3 3 2","4 4 2"
17,"Female","NO",2,1,3,4,5,2,5,5,3,1,2,2,5,4,5,"2, 1, 3","4, 5, 2","5 5 3","1 2 2","5 4 5"
42,"Male","US",2,3,2,1,2,3,4,4,4,5,5,4,4,5,5,"2, 3, 2","1, 2, 3","4 4 4","5 5 4","4 5 5"
41,"Female","GR",1,5,4,1,5,5,5,5,5,1,5,3,5,5,3,"1, 5, 4","1, 5, 5","5 5 5","1 5 3","5 5 3"
14,"Female","AU",5,4,5,5,3,4,3,3,5,2,2,3,5,5,5,"5, 4, 5","5, 3, 4","3 3 5","2 2 3","5 5 5"
27,"Male","GB",4,4,4,3,4,2,4,4,5,4,4,4,4,4,4,"4, 4, 4","3, 4, 2","4 4 5","4 4 4","4 4 4"
